Localidade,Provincia,Nivel,Tipo,Familia ou rama,Estudo,Centro ou sede,Universidade,Campus,Prazas,Fonte
Vilagarcía de Arousa,Pontevedra,Grao Medio,fpgm,Administración e xestión,Xestión administrativa,IES Armando Cotarelo Valledor,,,,https://www.edu.xunta.gal/fp/oferta-fp
Ames,A Coruña,Grao Básico,fpb,Agraria,Agroxardinaría e composicións florais,IES Plurilingüe de Ames,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ames,A Coruña,Grao Básico,fpb,Imaxe persoal,Peiteado e estética,IES Plurilingüe de Ames,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ames,A Coruña,Grao Medio,fpgm,Informática e comunicacións,Sistemas microinformáticos e redes,IES Plurilingüe de Ames,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Básico,fpb,Hostalaría e turismo,Actividades de panadaría e pastelaría,IES de Sabón,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Básico,fpb,Hostalaría e turismo,Cociña e restauración,IES de Sabón,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Básico,fpb,Electricidade e electrónica,Electricidade e electrónica,IES de Sabón,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Medio,fpgm,Actividades físicas e deportivas,Guía no medio natural e de tempo libre,IES de Sabón,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Medio,fpgm,Electricidade e electrónica,Instalacións eléctricas e automáticas,IES de Sabón,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Medio,fpgm,Administración e xestión,Xestión administrativa,IES de Sabón,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas,IES de Sabón,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Básico,fpb,Agraria,Agroxardinaría e composicións florais,CPR Agarimo,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Básico,fpb,"Madeira, moble e cortiza",Carpintaría e moble,CPR Agarimo,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,Grao Básico,fpb,Hostalaría e turismo,Cociña e restauración,CPR Agarimo,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Básico,fpb,Agraria,Agroxardinaría e composicións florais,IES de Arzúa,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Básico,fpb,Administración e xestión,Servizos administrativos,IES de Arzúa,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Medio,fpgm,Agraria,Aproveitamento e conservación do medio natural,IES de Arzúa,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas,IES de Arzúa,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Superior,fpgs,Agraria,Xestión forestal e do medio natural,IES de Arzúa,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Medio,fpgm,Comercio e márketing,Actividades comerciais,EFAG El Piñeiral,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Medio,fpgm,Industrias alimentarias,"Panadaría, repostaría e confeitaría",EFAG El Piñeiral,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Superior,fpgs,Servizos socioculturais e á comunidade,Educación infantil,EFAG El Piñeiral,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Superior,fpgs,Sanidade,Hixiene bucodental,EFAG El Piñeiral,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,Grao Superior,fpgs,Comercio e márketing,Márketing e publicidade,EFAG El Piñeiral,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Bergondo,A Coruña,Grao Medio,fpgm,Agraria,Floraría e arte floral,CFEA de Guísamo,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Bergondo,A Coruña,Grao Medio,fpgm,Agraria,Xardinaría e floraría,CFEA de Guísamo,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Bergondo,A Coruña,Grao Superior,fpgs,Agraria,Paisaxismo e medio rural,CFEA de Guísamo,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,Grao Básico,fpb,Transporte e mantemento de vehículos,Mantemento de vehículos,IES As Mariñas,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,Grao Básico,fpb,Administración e xestión,Servizos administrativos,IES As Mariñas,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,Grao Medio,fpgm,Transporte e mantemento de vehículos,Electromecánica de vehículos automóbiles,IES As Mariñas,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,Grao Medio,fpgm,Electricidade e electrónica,Instalacións eléctricas e automáticas,IES As Mariñas,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,Grao Medio,fpgm,Administración e xestión,Xestión administrativa,IES As Mariñas,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas,IES As Mariñas,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,Grao Superior,fpgs,Transporte e mantemento de vehículos,Automoción,IES As Mariñas,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,Grao Superior,fpgs,Electricidade e electrónica,Sistemas electrotécnicos e automatizados,IES As Mariñas,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,Grao Superior,fpgs,Comercio e márketing,Márketing e publicidade,IES Francisco Aguiar,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Boiro,A Coruña,Grao Básico,fpb,Informática e comunicacións,Informática e comunicacións,IES Espiñeira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Boiro,A Coruña,Grao Medio,fpgm,Electricidade e electrónica,Instalacións de telecomunicacións,IES Espiñeira,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Boiro,A Coruña,Grao Medio,fpgm,Administración e xestión,Xestión administrativa,IES Espiñeira,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Boiro,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas,IES Espiñeira,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Boqueixón,A Coruña,Grao Medio,fpgm,Agraria,Aproveitamento e conservación do medio natural,CFEA de Sergude,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Boqueixón,A Coruña,Grao Medio,fpgm,Agraria,Produción agropecuaria,CFEA de Sergude,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Boqueixón,A Coruña,Grao Superior,fpgs,Agraria,Gandaría e asistencia en sanidade animal,CFEA de Sergude,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Cambre,A Coruña,Grao Básico,fpb,Informática e comunicacións,Informática de oficina,IES Afonso X O Sabio,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cambre,A Coruña,Grao Medio,fpgm,Administración e xestión,Xestión administrativa,IES Afonso X O Sabio,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Cambre,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas,IES Afonso X O Sabio,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Superior,fpgs,Comercio e márketing,Comercio internacional,IES Alfredo Brañas,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Básico,fpb,Informática e comunicacións,Informática de oficina,IES Isidro Parga Pondal,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Superior,fpgs,Informática e comunicacións,Administración de sistemas informáticos en rede,IES Isidro Parga Pondal,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Básico,fpb,Hostalaría e turismo,Cociña e restauración,IES Monte Neme,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Básico,fpb,Electricidade e electrónica,Electricidade e electrónica,IES Monte Neme,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Básico,fpb,Fabricación mecánica,Fabricación e montaxe,IES Monte Neme,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Medio,fpgm,Electricidade e electrónica,Instalacións de telecomunicacións,IES Monte Neme,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Medio,fpgm,Electricidade e electrónica,Instalacións eléctricas e automáticas,IES Monte Neme,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Medio,fpgm,Fabricación mecánica,Mecanizado,IES Monte Neme,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Medio,fpgm,Administración e xestión,Xestión administrativa,IES Monte Neme,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas,IES Monte Neme,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Carballo,A Coruña,Grao Superior,fpgs,Electricidade e electrónica,Sistemas de telecomunicacións e informáticos,IES Monte Neme,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Cedeira,A Coruña,Grao Básico,fpb,Electricidade e electrónica,Electricidade e electrónica,IES Punta Candieira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cedeira,A Coruña,Grao Básico,fpb,Comercio e márketing,Servizos comerciais,IES Punta Candieira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cedeira,A Coruña,Grao Medio,fpgm,Electricidade e electrónica,Instalacións eléctricas e automáticas,IES Punta Candieira,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Cedeira,A Coruña,Grao Medio,fpgm,Instalación e mantemento,Mantemento electromecánico,IES Punta Candieira,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Cedeira,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas,IES Punta Candieira,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Cedeira,A Coruña,Grao Superior,fpgs,Instalación e mantemento,Dixitalización do mantemento industrial,IES Punta Candieira,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Cedeira,A Coruña,Grao Superior,fpgs,Instalación e mantemento,Mecatrónica industrial,IES Punta Candieira,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Cee,A Coruña,Grao Básico,fpb,Electricidade e electrónica,Electricidade e electrónica,IES Fernando Blanco,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cee,A Coruña,Grao Básico,fpb,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Fernando Blanco,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cee,A Coruña,Grao Medio,fpgm,Transporte e mantemento de vehículos,Electromecánica de vehículos automóbiles,IES Fernando Blanco,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Cee,A Coruña,Grao Medio,fpgm,Electricidade e electrónica,Instalacións eléctricas e automáticas,IES Fernando Blanco,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Cee,A Coruña,Grao Medio,fpgm,Instalación e mantemento,Mantemento electromecánico,IES Fernando Blanco,,,22,https://www.edu.xunta.gal/fp/oferta-fp
Cee,A Coruña,Grao Medio,fpgm,Administración e xestión,Xestión administrativa,IES Fernando Blanco,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Cee,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas,IES Fernando Blanco,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Coristanco,A Coruña,Grao Medio,fpgm,Actividades físicas e deportivas,Guía no medio natural e de tempo libre,EFAG Fonteboa,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Coristanco,A Coruña,Grao Medio,fpgm,Agraria,Produción agropecuaria,EFAG Fonteboa,,,30,https://www.edu.xunta.gal/fp/oferta-fp
Coristanco,A Coruña,Grao Superior,fpgs,Agraria,Gandaría e asistencia en sanidade animal,EFAG Fonteboa,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Coristanco,A Coruña,Grao Superior,fpgs,Agraria,Paisaxismo e medio rural,EFAG Fonteboa,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Coristanco,A Coruña,Grao Superior,fpgs,Comercio e márketing,Transporte e loxística,EFAG Fonteboa,,,20,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Servizos socioculturais e á comunidade,Atención a persoas en situación de dependencia,CIFP Ánxel Casal - Monte Alto,,,25,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Sanidade,Farmacia e parafarmacia,CIFP Ánxel Casal - Monte Alto,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Sanidade,Anatomía patolóxica e citodiagnóstico,CIFP Ánxel Casal - Monte Alto,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Servizos socioculturais e á comunidade,Animación sociocultural e turística,CIFP Ánxel Casal - Monte Alto,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Sanidade,Audioloxía protésica,CIFP Ánxel Casal - Monte Alto,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Química,Cultivos celulares,CIFP Ánxel Casal - Monte Alto,,,20,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Servizos socioculturais e á comunidade,Educación infantil,CIFP Ánxel Casal - Monte Alto,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Servizos socioculturais e á comunidade,Educación infantil (quenda de tarde),CIFP Ánxel Casal - Monte Alto,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Sanidade,Hixiene bucodental,CIFP Ánxel Casal - Monte Alto,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Sanidade,Imaxe para o diagnóstico e medicina nuclear,CIFP Ánxel Casal - Monte Alto,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Servizos socioculturais e á comunidade,Integración social,CIFP Ánxel Casal - Monte Alto,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Sanidade,Laboratorio clínico e biomédico,CIFP Ánxel Casal - Monte Alto,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Servizos socioculturais e á comunidade,Mediación comunicativa,CIFP Ánxel Casal - Monte Alto,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Sanidade,Próteses dentais,CIFP Ánxel Casal - Monte Alto,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Sanidade,Próteses dentais (quenda de tarde),CIFP Ánxel Casal - Monte Alto,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Seguridade e medio ambiente,Química e saúde ambiental,CIFP Ánxel Casal - Monte Alto,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Sanidade,Radioterapia e dosimetría (quenda de tarde),CIFP Ánxel Casal - Monte Alto,,,12,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Imaxe e son,"Animacións 3D, xogos e contornos interactivos",CIFP Imaxe e Son,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Imaxe e son,"Iluminación, captación e tratamento de imaxe",CIFP Imaxe e Son,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Imaxe e son,Produción de audiovisuais e espectáculos,CIFP Imaxe e Son,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Imaxe e son,Realización de proxectos audiovisuais e espectáculos,CIFP Imaxe e Son,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Imaxe e son,Son para audiovisuais e espectáculos,CIFP Imaxe e Son,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,Hostalaría e turismo,Aloxamento e lavandaría,CIFP Paseo das Pontes,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,"Téxtil, confección e pel",Arranxos e reparación de artigos téxtiles e de pel,CIFP Paseo das Pontes,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,"Téxtil, confección e pel",Tapizaría e cortinaxe,CIFP Paseo das Pontes,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Hostalaría e turismo,Cociña e gastronomía,CIFP Paseo das Pontes,,,44,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,"Téxtil, confección e pel",Confección e moda,CIFP Paseo das Pontes,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Industrias alimentarias,Elaboración de produtos alimentarios,CIFP Paseo das Pontes,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Hostalaría e turismo,Panadaría e bolaría artesanais,CIFP Paseo das Pontes,,,20,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Hostalaría e turismo,Servizos en restauración,CIFP Paseo das Pontes,,,25,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Hostalaría e turismo,Dirección de cociña,CIFP Paseo das Pontes,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Hostalaría e turismo,Dirección de servizos de restauración,CIFP Paseo das Pontes,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,"Téxtil, confección e pel",Patronaxe e moda,CIFP Paseo das Pontes,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Industrias alimentarias,Procesos e calidade na industria alimentaria,CIFP Paseo das Pontes,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,"Téxtil, confección e pel",Vestiario á medida e de espectáculos (quenda de tarde),CIFP Paseo das Pontes,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Hostalaría e turismo,Xestión de aloxamentos turísticos (quenda de tarde),CIFP Paseo das Pontes,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,"Madeira, moble e cortiza",Carpintaría e moble,CIFP Someso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,Fabricación mecánica,Fabricación e montaxe,CIFP Someso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,Transporte e mantemento de vehículos,Mantemento de vehículos,CIFP Someso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,Imaxe persoal,Peiteado e estética,CIFP Someso,,,36,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,Edificación e obra civil,Reforma e mantemento de edificios,CIFP Someso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,"Madeira, moble e cortiza",Carpintaría e moble,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Transporte e mantemento de vehículos,Carrozaría,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Transporte e mantemento de vehículos,Electromecánica de vehículos automóbiles,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Imaxe persoal,Estética e beleza,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Imaxe persoal,Estética e beleza (quenda de tarde),CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Fabricación mecánica,Mecanizado,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Imaxe persoal,Peiteado e cosmética capilar,CIFP Someso,,,44,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Fabricación mecánica,Soldadura e caldeiraría,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Transporte e mantemento de vehículos,Automoción,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Fabricación mecánica,Construcións metálicas,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,"Madeira, moble e cortiza",Deseño e amoblamento,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Imaxe persoal,Estética integral e benestar,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Imaxe persoal,Estilismo e dirección de peiteado,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Fabricación mecánica,Fabricación aditiva,CIFP Someso,,,20,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Fabricación mecánica,Programación da produción en fabricación mecánica,CIFP Someso,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Edificación e obra civil,Proxectos de edificación,CIFP Someso,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Edificación e obra civil,Proxectos de obra civil,CIFP Someso,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Química,Operacións de laboratorio,IES A Sardiñeira,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Química,Laboratorio de análise e de control de calidade,IES A Sardiñeira,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Química,Química industrial,IES A Sardiñeira,,,22,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Actividades físicas e deportivas,Acondicionamento físico,IES Agra do Orzán,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Actividades físicas e deportivas,Ensinanza e animación sociodeportiva,IES Agra do Orzán,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,Informática e comunicacións,Informática e comunicacións (quenda de tarde),IES Fernando Wirtz Suárez,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Informática e comunicacións,Sistemas microinformáticos e redes,IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Informática e comunicacións,Sistemas microinformáticos e redes (quenda de tarde),IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Administración e xestión,Xestión administrativa,IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Informática e comunicacións,Administración de sistemas informáticos en rede,IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas,IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Administración e xestión,Administración e finanzas (quenda de tarde),IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Administración e xestión,Asistencia á dirección (quenda de tarde),IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Informática e comunicacións,Desenvolvemento de aplicacións multiplataforma (quenda de tarde),IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Informática e comunicacións,Desenvolvemento de aplicacións web,IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Informática e comunicacións,Desenvolvemento de aplicacións web (quenda de tarde),IES Fernando Wirtz Suárez,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Informática e comunicacións,Intelixencia artificial e big data,IES Fernando Wirtz Suárez,,,20,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Hostalaría e turismo,Axencias de viaxes e xestión de eventos (quenda de tarde),IES Plurilingüe Eusebio da Guarda,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Hostalaría e turismo,"Guía, información e asistencia turísticas (quenda de tarde)",IES Plurilingüe Eusebio da Guarda,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,Comercio e márketing,Servizos comerciais,IES Ramón Menéndez Pidal,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Medio,fpgm,Comercio e márketing,Actividades comerciais,IES Ramón Menéndez Pidal,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Comercio e márketing,Comercio internacional,IES Ramón Menéndez Pidal,,,60,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Superior,fpgs,Comercio e márketing,Xestión de vendas e espazos comerciais,IES Ramón Menéndez Pidal,,,30,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,Artes gráficas,Artes gráficas,IES Rosalía Mera,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,"Madeira, moble e cortiza",Carpintaría e moble,IES Rosalía Mera,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Coruña,A Coruña,Grao Básico,fpb,Fabricación mecánica,Fabricación e montaxe,IES Rosalía Mera,,,18,https://www.edu.xunta.gal/fp/oferta-fp
