Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
IES A Sardiñeira · A Coruña,FP grao medio,A Coruña,A Coruña,IES A Sardiñeira,"IES A Sardiñeira, A Coruña, A Coruña, Galicia, España",,,Química,Oferta ordinaria,1,Operacións de laboratorio (Oferta ordinaria),22,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Fernando Wirtz Suárez · A Coruña,FP grao medio,A Coruña,A Coruña,IES Fernando Wirtz Suárez,"IES Fernando Wirtz Suárez, A Coruña, A Coruña, Galicia, España",,,Administración e xestión | Informática e comunicacións,Oferta ordinaria,3,Sistemas microinformáticos e redes (Oferta ordinaria) || Sistemas microinformáticos e redes (quenda de tarde) (Oferta ordinaria) || Xestión administrativa (Oferta ordinaria),90,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Ramón Menéndez Pidal · A Coruña,FP grao medio,A Coruña,A Coruña,IES Ramón Menéndez Pidal,"IES Ramón Menéndez Pidal, A Coruña, A Coruña, Galicia, España",,,Comercio e márketing,Oferta ordinaria,1,Actividades comerciais (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Rosalía Mera · A Coruña,FP grao medio,A Coruña,A Coruña,IES Rosalía Mera,"IES Rosalía Mera, A Coruña, A Coruña, Galicia, España",,,"Artes gráficas | Electricidade e electrónica | Fabricación mecánica | Madeira, moble e cortiza",Oferta ordinaria,6,Impresión gráfica (Oferta ordinaria) || Instalación e amoblamento (Oferta ordinaria) || Instalacións eléctricas e automáticas (Oferta ordinaria) || Mecanizado (Oferta ordinaria) || Preimpresión dixital (Oferta ordinaria) || Soldadura e caldeiraría (Oferta ordinaria),132,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Urbano Lugrís · A Coruña,FP grao medio,A Coruña,A Coruña,IES Urbano Lugrís,"IES Urbano Lugrís, A Coruña, A Coruña, Galicia, España",,,Electricidade e electrónica | Instalación e mantemento,Oferta ordinaria,3,Implementación de redes 5G (Oferta ordinaria) || Instalacións de telecomunicacións (Oferta ordinaria) || Mantemento electromecánico (Oferta ordinaria),64,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Divino Maestro · A Pobra do Caramiñal,FP grao medio,A Coruña,A Pobra do Caramiñal,CPR Divino Maestro,"CPR Divino Maestro, A Pobra do Caramiñal, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Xestión administrativa (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Plurilingüe de Ames · Ames,FP grao medio,A Coruña,Ames,IES Plurilingüe de Ames,"IES Plurilingüe de Ames, Ames, A Coruña, Galicia, España",,,Informática e comunicacións,Oferta ordinaria,1,Sistemas microinformáticos e redes (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES de Sabón · Arteixo,FP grao medio,A Coruña,Arteixo,IES de Sabón,"IES de Sabón, Arteixo, A Coruña, Galicia, España",,,Actividades físicas e deportivas | Administración e xestión | Electricidade e electrónica,Oferta ordinaria,3,Guía no medio natural e de tempo libre (Oferta ordinaria) || Instalacións eléctricas e automáticas (Oferta ordinaria) || Xestión administrativa (Oferta ordinaria),74,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
EFAG El Piñeiral · Arzúa,FP grao medio,A Coruña,Arzúa,EFAG El Piñeiral,"EFAG El Piñeiral, Arzúa, A Coruña, Galicia, España",,,Comercio e márketing | Industrias alimentarias,Oferta ordinaria,2,"Actividades comerciais (Oferta ordinaria) || Panadaría, repostaría e confeitaría (Oferta ordinaria)",40,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES de Arzúa · Arzúa,FP grao medio,A Coruña,Arzúa,IES de Arzúa,"IES de Arzúa, Arzúa, A Coruña, Galicia, España",,,Agraria,Oferta ordinaria,1,Aproveitamento e conservación do medio natural (Oferta ordinaria),22,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
