Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
IES Pino Manso · O Porriño,FP,Pontevedra,O Porriño,IES Pino Manso,"IES Pino Manso, O Porriño, Pontevedra, Galicia, España",,,Informática e comunicacións,FP básica,1,Informática de oficina (FP básica),18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Ribeira do Louro · O Porriño,FP,Pontevedra,O Porriño,IES Ribeira do Louro,"IES Ribeira do Louro, O Porriño, Pontevedra, Galicia, España",,,Comercio e márketing | Edificación e obra civil | Electricidade e electrónica | Imaxe persoal,FP básica,4,Electricidade e electrónica (FP básica) || Peiteado e estética (FP básica) || Reforma e mantemento de edificios (FP básica) || Servizos comerciais (FP básica),72,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP de Cantería de Galicia · Poio,FP,Pontevedra,Poio,CIFP de Cantería de Galicia,"CIFP de Cantería de Galicia, Poio, Pontevedra, Galicia, España",,,Edificación e obra civil,FP básica,1,Reforma e mantemento de edificios (FP básica),18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP A Granxa · Ponteareas,FP,Pontevedra,Ponteareas,CIFP A Granxa,"CIFP A Granxa, Ponteareas, Pontevedra, Galicia, España",,,Agraria | Industrias alimentarias,FP básica,2,Agroxardinaría e composicións florais (FP básica) || Industrias alimentarias (FP básica),36,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe Vigo · Redondela,FP,Pontevedra,Redondela,CPR Plurilingüe Vigo,"CPR Plurilingüe Vigo, Redondela, Pontevedra, Galicia, España",,,Comercio e márketing | Transporte e mantemento de vehículos,FP básica,2,Mantemento de vehículos (FP básica) || Servizos comerciais (FP básica),40,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Pedro Floriani · Redondela,FP,Pontevedra,Redondela,IES Pedro Floriani,"IES Pedro Floriani, Redondela, Pontevedra, Galicia, España",,,Electricidade e electrónica | Informática e comunicacións,FP básica,2,Electricidade e electrónica (FP básica) || Informática de oficina (FP básica),36,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES de Salvaterra de Miño · Salvaterra de Miño,FP,Pontevedra,Salvaterra de Miño,IES de Salvaterra de Miño,"IES de Salvaterra de Miño, Salvaterra de Miño, Pontevedra, Galicia, España",,,"Madeira, moble e cortiza | Téxtil, confección e pel",FP básica,2,Arranxos e reparación de artigos téxtiles e de pel (FP básica) || Carpintaría e moble (FP básica),36,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES de Vilalonga · Sanxenxo,FP,Pontevedra,Sanxenxo,IES de Vilalonga,"IES de Vilalonga, Sanxenxo, Pontevedra, Galicia, España",,,Administración e xestión | Hostalaría e turismo | Transporte e mantemento de vehículos,FP básica,3,Cociña e restauración (FP básica) || Mantemento de vehículos (FP básica) || Servizos administrativos (FP básica),54,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Silleda,FP,Pontevedra,Silleda,Silleda,"Silleda, Pontevedra, Galicia, España",,,Comercio e márketing,FP básica,1,Servizos comerciais (FP básica),18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Antón Alonso Ríos · Tomiño,FP,Pontevedra,Tomiño,IES Antón Alonso Ríos,"IES Antón Alonso Ríos, Tomiño, Pontevedra, Galicia, España",,,Agraria | Electricidade e electrónica,FP básica,2,Agroxardinaría e composicións florais (FP básica) || Electricidade e electrónica (FP básica),36,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Tui,FP,Pontevedra,Tui,Tui,"Tui, Pontevedra, Galicia, España",,,Electricidade e electrónica,FP básica,1,Electricidade e electrónica (FP básica),18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Plurilingüe de Valga · Valga,FP,Pontevedra,Valga,IES Plurilingüe de Valga,"IES Plurilingüe de Valga, Valga, Pontevedra, Galicia, España",,,Agraria | Fabricación mecánica,FP básica,2,Agroxardinaría e composicións florais (FP básica) || Fabricación e montaxe (FP básica),36,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CEE Saladino Cortizo · Vigo,FP,Pontevedra,Vigo,CEE Saladino Cortizo,"CEE Saladino Cortizo, Vigo, Pontevedra, Galicia, España",,,"Agraria | Artes gráficas | Hostalaría e turismo | Imaxe persoal | Madeira, moble e cortiza",Programas formativos básicos,5,PFB de Carpintaría (Programas formativos básicos) || PFB de Peiteado (Programas formativos básicos) || PFB de Reprografía (Programas formativos básicos) || PFB de Servizos de restauración (Programas formativos básicos) || PFB de Xardinaría e viveirismo (Programas formativos básicos),108,i_portal_oferta_clasificada_por_prov_concello_programas_basicos.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Manuel Antonio · Vigo,FP,Pontevedra,Vigo,CIFP Manuel Antonio,"CIFP Manuel Antonio, Vigo, Pontevedra, Galicia, España",,,"Hostalaría e turismo | Téxtil, confección e pel",FP básica,2,Cociña e restauración (FP básica) || Tapizaría e cortinaxe (FP básica),36,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Valentín Paz Andrade · Vigo,FP,Pontevedra,Vigo,CIFP Valentín Paz Andrade,"CIFP Valentín Paz Andrade, Vigo, Pontevedra, Galicia, España",,,Transporte e mantemento de vehículos,FP básica,1,Mantemento de vehículos (FP básica),18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES A Guía · Vigo,FP,Pontevedra,Vigo,IES A Guía,"IES A Guía, Vigo, Pontevedra, Galicia, España",,,Comercio e márketing,FP básica,1,Servizos comerciais (FP básica),18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES de Teis · Vigo,FP,Pontevedra,Vigo,IES de Teis,"IES de Teis, Vigo, Pontevedra, Galicia, España",,,Imaxe persoal | Informática e comunicacións,FP básica,2,Informática de oficina (FP básica) || Peiteado e estética (FP básica),36,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Vigo,FP,Pontevedra,Vigo,Vigo,"Vigo, Pontevedra, Galicia, España",,,Administración e xestión | Comercio e márketing,FP básica para persoas adultas,2,PFB de Comercio (FP básica para persoas adultas) || Servizos administrativos (FP básica para persoas adultas),36,i_portal_oferta_clasificada_por_prov_concello_fp_basica_adultos.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Vila de Cruces,FP,Pontevedra,Vila de Cruces,Vila de Cruces,"Vila de Cruces, Pontevedra, Galicia, España",,,Administración e xestión,FP básica,1,Servizos administrativos (FP básica),18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CEE de Vilagarcía de Arousa · Vilagarcía de Arousa,FP,Pontevedra,Vilagarcía de Arousa,CEE de Vilagarcía de Arousa,"CEE de Vilagarcía de Arousa, Vilagarcía de Arousa, Pontevedra, Galicia, España",,,Artes gráficas,Programas formativos básicos,1,PFB de Reprografía (Programas formativos básicos),18,i_portal_oferta_clasificada_por_prov_concello_programas_basicos.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Fontecarmoa · Vilagarcía de Arousa,FP,Pontevedra,Vilagarcía de Arousa,CIFP Fontecarmoa,"CIFP Fontecarmoa, Vilagarcía de Arousa, Pontevedra, Galicia, España",,,Comercio e márketing | Electricidade e electrónica | Industrias alimentarias,FP básica,3,Electricidade e electrónica (FP básica) || Industrias alimentarias (FP básica) || Servizos comerciais (FP básica),54,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Armando Cotarelo Valledor · Vilagarcía de Arousa,FP,Pontevedra,Vilagarcía de Arousa,IES Armando Cotarelo Valledor,"IES Armando Cotarelo Valledor, Vilagarcía de Arousa, Pontevedra, Galicia, España",,,Informática e comunicacións,FP básica,1,Informática e comunicacións (FP básica),18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
