Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
IES Urbano Lugrís · A Coruña,FP grao superior,A Coruña,A Coruña,IES Urbano Lugrís,"IES Urbano Lugrís, A Coruña, A Coruña, Galicia, España",,,Electricidade e electrónica | Informática e comunicacións,Oferta ordinaria,5,Automatización e robótica industrial (Oferta ordinaria) || Desenvolvemento de aplicacións en linguaxe Python (Oferta ordinaria) || Mantemento electrónico (Oferta ordinaria) || Sistemas de telecomunicacións e informáticos (Oferta ordinaria) || Sistemas electrotécnicos e automatizados (Oferta ordinaria),130,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES de Sabón · Arteixo,FP grao superior,A Coruña,Arteixo,IES de Sabón,"IES de Sabón, Arteixo, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Administración e finanzas (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
EFAG El Piñeiral · Arzúa,FP grao superior,A Coruña,Arzúa,EFAG El Piñeiral,"EFAG El Piñeiral, Arzúa, A Coruña, Galicia, España",,,Comercio e márketing | Sanidade | Servizos socioculturais e á comunidade,Oferta ordinaria,3,Educación infantil (Oferta ordinaria) || Hixiene bucodental (Oferta ordinaria) || Márketing e publicidade (Oferta ordinaria),70,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES de Arzúa · Arzúa,FP grao superior,A Coruña,Arzúa,IES de Arzúa,"IES de Arzúa, Arzúa, A Coruña, Galicia, España",,,Administración e xestión | Agraria,Oferta ordinaria,2,Administración e finanzas (Oferta ordinaria) || Xestión forestal e do medio natural (Oferta ordinaria),52,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Plurilingüe Castro da Uz · As Pontes de García Rodríguez,FP grao superior,A Coruña,As Pontes de García Rodríguez,IES Plurilingüe Castro da Uz,"IES Plurilingüe Castro da Uz, As Pontes de García Rodríguez, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Administración e finanzas (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CFEA de Guísamo · Bergondo,FP grao superior,A Coruña,Bergondo,CFEA de Guísamo,"CFEA de Guísamo, Bergondo, A Coruña, Galicia, España",,,Agraria,Oferta ordinaria,1,Paisaxismo e medio rural (Oferta ordinaria),22,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES As Mariñas · Betanzos,FP grao superior,A Coruña,Betanzos,IES As Mariñas,"IES As Mariñas, Betanzos, A Coruña, Galicia, España",,,Administración e xestión | Electricidade e electrónica | Transporte e mantemento de vehículos,Oferta ordinaria,3,Administración e finanzas (Oferta ordinaria) || Automoción (Oferta ordinaria) || Sistemas electrotécnicos e automatizados (Oferta ordinaria),74,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Francisco Aguiar · Betanzos,FP grao superior,A Coruña,Betanzos,IES Francisco Aguiar,"IES Francisco Aguiar, Betanzos, A Coruña, Galicia, España",,,Comercio e márketing,Oferta ordinaria,1,Márketing e publicidade (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Espiñeira · Boiro,FP grao superior,A Coruña,Boiro,IES Espiñeira,"IES Espiñeira, Boiro, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Administración e finanzas (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CFEA de Sergude · Boqueixón,FP grao superior,A Coruña,Boqueixón,CFEA de Sergude,"CFEA de Sergude, Boqueixón, A Coruña, Galicia, España",,,Agraria,Oferta ordinaria,1,Gandaría e asistencia en sanidade animal (Oferta ordinaria),22,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
